pl_name,pl_letter,hostname,hd_name,hip_name,sy_dist,pl_orbsmax,pl_orbper,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,discoverymethod,disc_year,ra,dec
"HD 40979 b","b","HD 40979","HD 40979","HIP 28767",34.08830000,0.8500000000,264.14999000000,0.250000,12.90000000,1484.26610000,,"Radial Velocity",2002,91.1253346,44.2597855
"HD 106515 A b","b","HD 106515 A","HD 106515 A","HIP 59743 A",34.09150000,4.4800000000,3626.00000000000,0.571000,12.10000000,6006.95689230,,"Radial Velocity",2012,183.7762699,-7.2575413
"2MASS J21252752-8138278 b","b","2MASS J21252752-8138278",,,34.11540000,7493.0000000000,,,12.40000000,3813.94088400,1616.00,"Imaging",2024,321.3662989,-81.6414894
"HD 196885 A b","b","HD 196885 A","HD 196885 A","HIP 101966",34.16920000,2.3700000000,1333.00000000000,0.480000,13.20000000,819.97000000,,"Radial Velocity",2007,309.9664609,11.2500236
"HD 4208 b","b","HD 4208","HD 4208","HIP 3479",34.19370000,1.6620000000,832.97000000000,0.042000,13.90000000,257.44230000,,"Radial Velocity",2001,11.1125532,-26.5150392
"HD 142022 A b","b","HD 142022 A","HD 142022 A","HIP 79242",34.28020000,2.9300000000,1928.00000000000,0.530000,12.90000000,1433.40611557,,"Radial Velocity",2005,242.5481731,-84.2317494
"HD 45364 b","b","HD 45364","HD 45364","HIP 30579",34.35400000,0.6793000000,225.79000000000,0.067000,9.03000000,60.16491745,,"Radial Velocity",2008,96.4105736,-31.4810037
"HD 45364 c","c","HD 45364","HD 45364","HIP 30579",34.35400000,0.9020000000,345.43000000000,0.019000,14.20000000,174.48779544,,"Radial Velocity",2008,96.4105736,-31.4810037
"HD 81040 b","b","HD 81040","HD 81040","HIP 46076",34.43410000,1.9460000000,1002.70000000000,0.525000,12.60000000,2301.07766668,,"Radial Velocity",2005,140.9455027,20.3646078
"BD-17 63 b","b","BD-17 63",,"HIP 2247",34.46030000,1.3400000000,655.57000000000,0.543900,12.80000000,1639.99458012,,"Radial Velocity",2008,7.1413494,-16.2273254
"HD 80883 b","b","HD 80883","HD 80883",,34.60110000,6.4620000000,6383.78352000000,0.203000,12.80000000,1748.05623850,,"Radial Velocity",2022,139.9331831,-59.4780815
"HD 92788 b","b","HD 92788","HD 92788","HIP 52409",34.65380000,0.9700000000,325.80300000000,0.350000,13.00000000,1195.04080000,,"Radial Velocity",2000,160.7021351,-2.1847173
"HD 92788 c","c","HD 92788","HD 92788","HIP 52409",34.65380000,10.5000000000,11611.29750000000,0.460000,13.00000000,1166.43610000,,"Radial Velocity",2019,160.7021351,-2.1847173
"HIP 948 b","b","HIP 948",,"HIP 948",34.85230000,15.0370000000,24955.45756000000,0.230000,12.10000000,6547.26518420,,"Radial Velocity",2022,2.9276336,-39.2304879
"HD 45652 b","b","HD 45652","HD 45652","HIP 30905",34.85410000,0.2370000000,44.07300000000,0.607000,14.30000000,137.62039000,,"Radial Velocity",2008,97.3058709,10.9336212
"HD 51608 b","b","HD 51608","HD 51608","HIP 33229",35.05530000,0.1059000000,14.07260000000,0.090000,3.62000000,12.77000000,,"Radial Velocity",2019,103.7137102,-55.2600189
"HD 51608 c","c","HD 51608","HD 51608","HIP 33229",35.05530000,0.3809000000,95.94460000000,0.140000,3.87000000,14.31000000,,"Radial Velocity",2019,103.7137102,-55.2600189
"HD 65216 b","b","HD 65216","HD 65216","HIP 38558",35.12050000,1.3010000000,577.60000000000,0.270000,13.60000000,411.58985000,,"Radial Velocity",2003,118.4209646,-63.6466892
"HD 65216 c","c","HD 65216","HD 65216","HIP 38558",35.12050000,5.7500000000,5370.00000000000,0.170000,13.40000000,645.19490000,,"Radial Velocity",2013,118.4209646,-63.6466892
"HD 73344 b","b","HD 73344","HD 73344","HIP 42403",35.26000000,0.1310000000,15.61100000000,0.030000,2.88400000,10.48000000,911.00,"Transit",2024,129.6894456,23.6852651
"HD 73344 c","c","HD 73344","HD 73344","HIP 42403",35.26000000,0.3388000000,65.94000000000,0.124000,13.50000000,118.54999581,,"Radial Velocity",2025,129.6894456,23.6852651
"HD 73344 d","d","HD 73344","HD 73344","HIP 42403",35.26000000,6.7000000000,5823.00000000000,0.180000,13.20000000,810.46243785,,"Radial Velocity",2025,129.6894456,23.6852651
"TOI-1634 b","b","TOI-1634",,,35.27360000,0.0154400000,0.98934551000,0.000000,1.75900000,4.90000000,900.00,"Transit",2021,56.3906096,37.1122803
"TOI-1634 c","c","TOI-1634",,,35.27360000,,103.00000000000,0.000000,,,,"Radial Velocity",2022,56.3906096,37.1122803
"TOI-7166 b","b","TOI-7166",,,35.41530000,0.0619100000,12.92063621000,0.000000,2.01000000,4.70000000,249.00,"Transit",2025,320.6806363,8.8893975
"HIP 66074 b","b","HIP 66074",,"HIP 66074",35.44380000,0.7990000000,310.90000000000,0.948000,12.90000000,1589.14203500,,"Astrometry",2023,203.1635632,75.0071038
"HD 142415 b","b","HD 142415","HD 142415","HIP 78169",35.53180000,1.0600000000,386.29999000000,0.500000,13.50000000,530.77610000,,"Radial Velocity",2003,239.4189890,-60.2006948
"LHS 1903 b","b","LHS 1903",,"HIP 34730",35.69170000,0.0265600000,2.15550980000,0.015000,1.38200000,3.28000000,796.00,"Transit",2026,107.8658260,48.3279327
"LHS 1903 c","c","LHS 1903",,"HIP 34730",35.69170000,0.0538700000,6.22618500000,0.089000,2.04600000,4.55000000,559.00,"Transit",2026,107.8658260,48.3279327
"LHS 1903 d","d","LHS 1903",,"HIP 34730",35.69170000,0.0860400000,12.56628700000,0.112000,2.50000000,5.96000000,442.00,"Transit",2026,107.8658260,48.3279327
"LHS 1903 e","e","LHS 1903",,"HIP 34730",35.69170000,0.1513500000,29.31773000000,0.014000,1.73200000,5.79000000,333.00,"Transit",2026,107.8658260,48.3279327
"TOI-5720 b","b","TOI-5720",,,35.82560000,0.0182880000,1.43445550000,,1.09000000,4.30000000,708.00,"Transit",2024,170.3135774,25.2732942
"HD 88072 b","b","HD 88072","HD 88072",,35.90980000,13.8950000000,18538.79293000000,0.156000,12.60000000,2511.79790052,,"Radial Velocity",2022,152.3467466,2.3710540
